"","Proveedor","Rut_RBD","Id_Reg","Id_Prov","Id_Com","Región","Provincia","Comuna","Raz_Soc","Dirección","Fono","Mail","Web","SIGLA_SEDE","Tipo_Insti","Clas_CFT_I","Area","Dependenci","Rut_Sost","Sostenedor","Niv_Ens","Esp_concat","Sigla","Nom_Establ","Coor_OTEC","Fono_OTEC","Enc_Establ","Fono_Estab","Clas_Prove","Cla_Ot_RN","Cla_Ot_RE","Cla_cft_IP","Cla_LTP","LAT_Y_2018","LON_X_2018","F36","OBJECTID","geometry"
"11","Liceos Técnicos Profesionales","8403",11,114,11402,"Aysen del General Carlos Ibañez del Campo","General Carrera","Río Ibáñez","Liceo Rural Cerro Castillo","ANIBAL PINTO 271","672 423 368","escuelaruralcerrocastillo@gmail.com"," "," "," "," ","RURAL","Municipal","69253100","Ilustre Municipalidad De Rio Ibanez","Básica/Med H-C/Med TP Tecn","Servicio de Turismo"," "," "," "," "," "," ",3," "," ",0,"1",-46.121165,-72.155343," ",489,c(-72.1553434600326, -46.1211654098557)
"12","Liceos Técnicos Profesionales","24204",11,112,11202,"Aysén del General Carlos Ibañez del Campo","Aysén","Cisnes","Liceo Arturo Prat Chacon","Jose Maria Caro S/N","672 346 477","direccionlapch@hotmail.com"," "," "," "," ","URBANO","Municipal","69240200","Ilustre Municipalidad De Cisnes","Med H-C/Med TP Marítima","Acuicultura"," "," "," "," "," "," ",3," "," ",0,"1",-45.588865,-72.645883," ",490,c(-72.6458830398703, -45.5888646299986)
"13","Liceos Técnicos Profesionales","8352",11,111,11101,"Aysen del General Carlos Ibañez del Campo","Coyhaique","Coyhaique","Liceo Republica Argentina","Pje. Arauco S/N","672 675 016","liceoargentina@hotmail.com"," "," "," "," ","URBANO","Municipal","69240300","Ilustre Municipalidad De Coyhaique","Parv./Básica/Med H-C/Med TP comer/Med TP indust","Mecánica Automotriz- Conectividad y Redes"," "," "," "," "," "," ",3," "," ",0,"1",-45.579605,-72.050794," ",491,c(-72.0507936595997, -45.5796048495841)
"14","Liceos Técnicos Profesionales","11608",11,111,11101,"Aysen del General Carlos Ibañez del Campo","Coyhaique","Coyhaique","Liceo Tecnico Profesional Juan Pablo Ii","Francisco Bilbao 2105","672 231 206","dario.orono@fespa.cl","www.liceojpii.cl"," "," "," ","URBANO","Particular Subvencionado","65432980","Fundacion Educacional San Pablo","Básica/Med H-C/Med H-C Adul/Med TP comer/Med TP indust/Med TP indust Adul/Med TP Tecn","Contabilidad- Construcción- Telecomunicaciones- Atención de Párvulos"," "," "," "," "," "," ",3," "," ",0,"1",-45.572758,-72.058962," ",492,c(-72.0589615803127, -45.5727578998572)
"15","Liceos Técnicos Profesionales","8345",11,111,11101,"Aysen del General Carlos Ibañez del Campo","Coyhaique","Coyhaique","Liceo Josefina Aguirre Montenegro","Jose Miguel Carrera 485","672 675 031","adolfopavez@demcoyhaique.cl","www.ljam.cl"," "," "," ","URBANO","Municipal","69240300","Ilustre Municipalidad De Coyhaique","Med H-C/Med TP comer/Med TP Tecn","Administración- Atención de Párvulos- Atención de Enfermería- Otras especialidades sin información u obsoletas"," "," "," "," "," "," ",3," "," ",0,"1",-45.56893,-72.071217," ",493,c(-72.0712171202738, -45.5689299697423)
"16","Liceos Técnicos Profesionales","8375",11,112,11201,"Aysén del General Carlos Ibañez del Campo","Aysén","Aysén","Liceo Politecnico De Aysen","Humberto Garcia 225","672 336 619","lpolitecnico.d@puertoaysen.cl"," "," "," "," ","URBANO","Municipal","69240100","Ilustre Municipalidad De Aysen","Básica/Med H-C Adul/Med TP indust/Med TP Tecn/Med TP Marítima","Mecánica Industrial- Servicio de Turismo- Acuicultura"," "," "," "," "," "," ",3," "," ",0,"1",-45.413784,-72.688107," ",494,c(-72.688106819674, -45.4137842804201)
"17","Liceos Técnicos Profesionales","8369",11,111,11101,"Aysen del General Carlos Ibañez del Campo","Coyhaique","Coyhaique","Escuela Agricola De La Patagonia","Km. 3 Camino Coyhaique Alto S/N","672 216 620","coyhaique.direccion@snaeduca.cl","www.escuelagricola.cl"," "," "," ","URBANO","Corporación de Administración Delegada (DL 3166)","65044735","Corporación Educacional De La Sociedad Nacional De Agricultura  Fg-Sna Educa","Med TP indust/Med TP Agríc","Electricidad- Agropecuaria"," "," "," "," "," "," ",3," "," ",0,"1",-44.746749,-72.142829," ",495,c(-72.1428289000337, -44.7467485896756)
"18","Liceos Técnicos Profesionales","24201",11,113,11301,"Aysen del General Carlos Ibañez del Campo","Capitan Prat","Cochrane","Liceo Austral Lord Cochrane","Luis Baez 785","672 522 607","jgopazo@hotmail.com"," "," "," "," ","URBANO","Municipal","69254500","Ilustre Municipalidad De Cochrane","Med H-C/Med H-C Adul/Med TP indust","Construcción"," "," "," "," "," "," ",3," "," ",0,"1",-44.725804,-72.675669," ",496,c(-72.6756689997245, -44.7258039997548)
"19","Liceos Técnicos Profesionales","22597",10,102,10208,"Los Lagos","Chiloé","Quellón","Liceo Tecnico Profesional San Jose","Alberto Vanz 707 Interior 707","652 548 880","directorliceotpsanjose@gmail.com"," "," "," "," ","URBANO","Particular Subvencionado","77723090","Sociedad Educacional Serra Y Torres Limitada","Med H-C/Med TP comer/Med TP Tecn","Administración- Atención de Párvulos"," "," "," "," "," "," ",3," "," ",0,"1",-43.124079,-73.648945," ",497,c(-73.6489446997381, -43.1240794198293)
"20","Liceos Técnicos Profesionales","8255",10,102,10208,"Los Lagos","Chiloé","Quellón","Liceo Rayen Mapu","Presidente Ibanez 560","652 681 788","direccionliceorayenmapu@gmail.com","www.liceorayenmapu.cl"," "," "," ","URBANO","Municipal","71173100","Corporacion Municipal De Educacion Quellon","Med H-C/Med TP Tecn/Med TP Marítima","Construcción- Acuicultura- Otras especialidades sin información u obsoletas"," "," "," "," "," "," ",3," "," ",0,"1",-43.114723,-73.624428," ",498,c(-73.6244279999522, -43.1147230000664)
"21","Liceos Técnicos Profesionales","40301",10,102,10208,"Los Lagos","Chiloé","Quellón","Liceo Politecnico De Quellon","Independencia 579","652 681 285","liceopolitecnicodequellon@gmail.com","www.liceopolitecnicoquellon.cl"," "," "," ","URBANO","Municipal","71173100","Corporacion Municipal De Educacion Quellon","Med H-C/Med TP comer/Med TP indust/Med TP Tecn","Administración- Mecánica Automotriz- Elaboración Industrial de Alimentos- Atención de Enfermería"," "," "," "," "," "," ",3," "," ",0,"1",-43.114168,-73.607078," ",499,c(-73.6070780002495, -43.1141679996534)
"22","Liceos Técnicos Profesionales","22674",10,102,10207,"Los Lagos","Chiloé","Queilen","Liceo Polivalente De Queilen","Profesor Rene Cárcamo 350","652 611 612","lpq@live.cl"," "," "," "," ","URBANO","Municipal","71127200","Corp.Municipal De Educacion Queilen","Med H-C/Med TP Tecn","Elaboración Industrial de Alimentos- Servicio de Turismo"," "," "," "," "," "," ",3," "," ",0,"1",-42.889131,-73.471575," ",500,c(-73.4715749298391, -42.8891313401392)
"23","Liceos Técnicos Profesionales","8206",10,102,10203,"Los Lagos","Chiloé","Chonchi","Liceo Manuel Jesus Andrade Borquez","Roberto Andrade 330","652 671 281","liceomanueljesusab@gmail.com","www.liceomanueljesus.cl"," "," "," ","URBANO","Municipal","71299000","Corporacion Municipal De Chonchi","Parv./Básica/Med H-C/Med H-C Adul/Med TP comer","Administración"," "," "," "," "," "," ",3," "," ",0,"1",-42.62226,-73.777977," ",501,c(-73.7779773395825, -42.6222601202084)
"24","Liceos Técnicos Profesionales","12192",10,102,10203,"Los Lagos","Chiloé","Chonchi","Instituto Del Mar Capitan Williams","Juan Guillermos 40","652 671 564","director@idemar.cl","www.idemar.cl"," "," "," ","URBANO","Particular Subvencionado","71142500","Fundacion Almirante Carlos Condell","Básica/Med TP indust/Med TP Tecn/Med TP Marítima","Electricidad- Elaboración Industrial de Alimentos- Pesquería- Acuicultura- Tripulación de Naves Mercantes y Especiales"," "," "," "," "," "," ",3," "," ",0,"1",-42.618478,-73.774633," ",502,c(-73.7746331601921, -42.6184778603649)
"25","Liceos Técnicos Profesionales","40457",10,102,10201,"Los Lagos","Chiloé","Castro","Liceo Tecnico Profesional Pablo Neruda","Panamerica Sur 1222","652 530 950","ltppabloneruda@hotmail.cl"," "," "," "," ","URBANO","Particular Subvencionado","76171584","Soc.Sost.De.Est.Educ.Pablo.Neruda.Ltda","Med H-C/Med TP indust/Med TP Tecn","Telecomunicaciones- Atención de Párvulos"," "," "," "," "," "," ",3," "," ",0,"1",-42.4806,-73.772165," ",503,c(-73.772164999615, -42.4805999996902)
"26","Liceos Técnicos Profesionales","8001",10,102,10201,"Los Lagos","Chiloé","Castro","Liceo Politecnico De Castro","Freire 540","652 632 489","adareneolivares@gmail.com"," "," "," "," ","URBANO","Municipal","71149700","Corporacion Municipal De Castro","Med TP comer/Med TP indust/Med TP Tecn","Contabilidad- Administración- Construcción- Mecánica Automotriz- Mecánica Industrial- Electricidad- Gastronomía- Servicios de Hotelería- Atención de Enfermería"," "," "," "," "," "," ",3," "," ",0,"1",-42.479823,-73.768707," ",504,c(-73.76870655956, -42.4798226697803)
"27","Liceos Técnicos Profesionales","8174",10,102,10210,"Los Lagos","Chiloé","Quinchao","Liceo Insular","Progreso 71","652 661 240","insularmedia@corporacionquinchao.cl"," "," "," "," ","URBANO","Municipal","71164300","Corp Mun Salud Educ Aten Menor Quinchao","Parv./Básica/Int. Escolar/Med H-C/Med TP Tecn/Med TP Agríc/Med TP Marítima","Elaboración Industrial de Alimentos- Agropecuaria- Acuicultura- Otras especialidades sin información u obsoletas"," "," "," "," "," "," ",3," "," ",0,"1",-42.470282,-73.495484," ",505,c(-73.4954841402808, -42.4702818404346)
"28","Liceos Técnicos Profesionales","8162",10,102,10204,"Los Lagos","Chiloé","Curaco de Vélez","Liceo Alfredo Del Carmen Barria Oyarzun","Goleta Ancud 20","652 667 302","liceocuraco@hotmail.com"," "," "," "," ","URBANO","Municipal","71281500","Corp Municipal Educ Curaco De Velez","Parv./Básica/Int. Escolar/Med H-C/Med TP Tecn","Atención de Enfermería"," "," "," "," "," "," ",3," "," ",0,"1",-42.439324,-73.601189," ",506,c(-73.6011893096389, -42.4393235999042)
"29","Liceos Técnicos Profesionales","22464",10,102,10205,"Los Lagos","Chiloé","Dalcahue","Liceo Polivalente Dalcahue","Av. Mocopulli 375","652 641 088","lipolida@yahoo.es"," "," "," "," ","URBANO","Municipal","71146000","Corp.Mun.Edu.Y Ser.Ramon Freire Dalcahue","Int. Escolar/Med H-C/Med H-C Adul/Med TP comer","Administración- Construcciones Metálicas"," "," "," "," "," "," ",3," "," ",0,"1",-42.376531,-73.654891," ",507,c(-73.6548910000196, -42.3765310002054)
"30","Liceos Técnicos Profesionales","8111",10,102,10209,"Los Lagos","Chiloé","Quemchi","Liceo Polivalente Quemchi","Avda. Johnstone 375","652 691 374","liceopolivalentequemchi@gmail.com","www.daemquemchi.cl"," "," "," ","URBANO","Municipal","69230200","Ilustre Municipalidad De Quemchi","Med H-C/Med TP Tecn","Gastronomía"," "," "," "," "," "," ",3," "," ",0,"1",-42.142332,-73.478439," ",508,c(-73.4784393596887, -42.1423317697953)
"31","Liceos Técnicos Profesionales","22027",10,104,10403,"Los Lagos","Palena","Hualaihue","Liceo Hornopiren","Lago Pinto Concha 050","652 217 290","liceohornopiren@gmail.com"," "," "," "," ","RURAL","Municipal","69252200","Ilustre Municipalidad De Hualaihue","Med H-C/Med TP Tecn/Med TP Marítima","Elaboración Industrial de Alimentos- Servicio de Turismo- Acuicultura"," "," "," "," "," "," ",3," "," ",0,"1",-41.967567,-72.469241," ",509,c(-72.469241350308, -41.9675665903258)
"32","Liceos Técnicos Profesionales","8108",10,102,10202,"Los Lagos","Chiloé","Ancud","Seminario Conciliar De Ancud","Federico Errazuriz 501","652 622 397","rectoriaseminarioancud@gmail.com","www.seminarioancud.cl"," "," "," ","URBANO","Particular Subvencionado","71952700","Fundacion Seminario Conciliar De Ancud","Parv./Básica/Med H-C/Med TP indust/Med TP Tecn/Med TP Marítima","Electricidad- Atención de Párvulos- Atención de Enfermería- Acuicultura- Otras especialidades sin información u obsoletas"," "," "," "," "," "," ",3," "," ",0,"1",-41.871185,-73.821947," ",510,c(-73.8219468698521, -41.8711853500238)
"33","Liceos Técnicos Profesionales","8109",10,102,10202,"Los Lagos","Chiloé","Ancud","Liceo Comercial El Pilar","Anibal Pinto 550","652 622 275","secretariafundacion@fundacionelpilar.cl","www.fundacionelpilar.cl"," "," "," ","URBANO","Particular Subvencionado","75458500","Fundacion El Pilar","Med H-C/Med TP comer/Med TP Tecn","Contabilidad- Administración- Servicio de Turismo"," "," "," "," "," "," ",3," "," ",0,"1",-41.869229,-73.821067," ",511,c(-73.8210673697633, -41.8692292796075)
"34","Liceos Técnicos Profesionales","7772",10,101,10102,"Los Lagos","Llanquihue","Calbuco","Liceo Politecnico Calbuco","Federico Errazuriz 205","652 461 288","lipolcal@gmail.com"," "," "," "," ","URBANO","Municipal","69220600","Ilustre Municipalidad De Calbuco","Med H-C/Med H-C Adul/Med TP indust/Med TP Tecn/Med TP Marítima","Mecánica Automotriz- Elaboración Industrial de Alimentos- Acuicultura"," "," "," "," "," "," ",3," "," ",0,"1",-41.772785,-73.126696," ",512,c(-73.1266957503086, -41.7727849095959)
"35","Liceos Técnicos Profesionales","7830",10,101,10108,"Los Lagos","Llanquihue","Maullín","Liceo Capitan De Fragata Francisco Vidal Gormaz","21 De Mayo Esquina  Balmaceda 481","652 220 243","liceomaullin@yahoo.es"," "," "," "," ","URBANO","Municipal","69220500","Ilustre Municipalidad De Maullin","Med H-C/Med TP Marítima","Acuicultura"," "," "," "," "," "," ",3," "," ",0,"1",-41.616984,-73.60018," ",513,c(-73.6001799996072, -41.6169840003113)
"36","Liceos Técnicos Profesionales","7651",10,101,10101,"Los Lagos","Llanquihue","Puerto Montt","Liceo Rural Piedra Azul","Carretera Austral Km.15 S/N","652 970 086","piedraazul@liceos.dempuertomontt.cl"," "," "," "," ","RURAL","Municipal","69220100","Ilustre Municipalidad De Puerto Montt","Parv./Básica/Int. Escolar/Med H-C/Med TP indust/Med TP Tecn/Med TP Marítima","Construcción- Atención de Enfermería- Acuicultura"," "," "," "," "," "," ",3," "," ",0,"1",-41.506418,-72.78607," ",514,c(-72.7860698496438, -41.506418329842)
"37","Liceos Técnicos Profesionales","7753",10,101,10103,"Los Lagos","Llanquihue","Cochamó","Escuela Basica Fronteriza Juan Soler Manfredini","Teniente Merino S/N","652 562 572","jsmfronteriza@gmail.com"," "," "," "," ","RURAL","Municipal","69252000","Ilustre Municipalidad De Cochamo","Parv./Básica/Med H-C/Med TP Marítima","Acuicultura"," "," "," "," "," "," ",3," "," ",0,"1",-41.491939,-72.305232," ",515,c(-72.3052323296083, -41.49193894003)
"38","Liceos Técnicos Profesionales","22664",10,101,10101,"Los Lagos","Llanquihue","Puerto Montt","Liceo Politecnico Mirasol","Maximiliano Uribe 1096","652 484 517","politecnicopuertomontt@hotmail.com"," "," "," "," ","URBANO","Municipal","69220100","Ilustre Municipalidad De Puerto Montt","Med H-C/Med TP Tecn","Elaboración Industrial de Alimentos- Gastronomía- Atención de Enfermería"," "," "," "," "," "," ",3," "," ",0,"1",-41.478096,-72.984021," ",516,c(-72.984021500292, -41.478096399729)
"39","Liceos Técnicos Profesionales","7705",10,101,10101,"Los Lagos","Llanquihue","Puerto Montt","Instituto Politecnico Maria Auxiliadora","Juan Jose Mira 1056","652 252 440","svera@fmachile.org","ipmapmontt.fmachile.org"," "," "," ","URBANO","Particular Subvencionado","70083600","Congregacion Instituto Hijas De Maria Auxiliadora","Med TP comer/Med TP Tecn","Administración- Gastronomía- Atención de Párvulos- Otras especialidades sin información u obsoletas"," "," "," "," "," "," ",3," "," ",0,"1",-41.475156,-72.951764," ",517,c(-72.951763580225, -41.475156280338)
"40","Liceos Técnicos Profesionales","22543",10,101,10101,"Los Lagos","Llanquihue","Puerto Montt","Liceo Comercial Miramar","Deber Cumplido 253","652 484 567","celiasilvag@yahoo.es"," "," "," "," ","URBANO","Municipal","69220100","Ilustre Municipalidad De Puerto Montt","Med H-C/Med TP comer/Med TP Tecn","Contabilidad- Gastronomía- Servicio de Turismo- Servicios de Hotelería- Operación Portuaria"," "," "," "," "," "," ",3," "," ",0,"1",-41.472434,-72.924849," ",518,c(-72.9248492500928, -41.4724341503157)
"41","Liceos Técnicos Profesionales","22544",10,101,10101,"Los Lagos","Llanquihue","Puerto Montt","Liceo Cientifico Humanista Benjamin Vicuña Mackenna","VIA DEL MEDITERRANEO S/N","652 484 573","benjaminvicuna@liceos.dempuertomontt.cl"," "," "," "," ","URBANO","Municipal","69220100","Ilustre Municipalidad De Puerto Montt","Básica/Bas. Adul. Sin Oficios/Med H-C/Med H-C Adul/Med TP indust","Conectividad y Redes"," "," "," "," "," "," ",3," "," ",0,"1",-41.472224,-72.98394," ",519,c(-72.9839396700797, -41.4722237197488)
"42","Liceos Técnicos Profesionales","7625",10,101,10101,"Los Lagos","Llanquihue","Puerto Montt","Liceo Industrial Puerto Montt","Egaña 490","652 225 701","industrial@liceos.dempuertomontt.cl","industrialpm.dempuertomontt.cl"," "," "," ","URBANO","Municipal","69220100","Ilustre Municipalidad De Puerto Montt","Med TP indust/Med TP Marítima","Construcciones Metálicas- Mecánica Industrial- Electricidad- Tripulación de Naves Mercantes y Especiales"," "," "," "," "," "," ",3," "," ",0,"1",-41.471118,-72.92897," ",520,c(-72.9289702099072, -41.4711177802613)
"43","Liceos Técnicos Profesionales","7626",10,101,10101,"Los Lagos","Llanquihue","Puerto Montt","Instituto Comercial De Puerto Montt","Buin 381","652 484 501","comercial@liceos.dempuertomontt.cl","liceocomercialpuertomontt.cl"," "," "," ","URBANO","Municipal","69220100","Ilustre Municipalidad De Puerto Montt","Med TP comer","Contabilidad- Administración- Otras especialidades sin información u obsoletas"," "," "," "," "," "," ",3," "," ",0,"1",-41.468093,-72.931115," ",521,c(-72.9311153196163, -41.4680926497559)
"44","Liceos Técnicos Profesionales","40256",10,101,10101,"Los Lagos","Llanquihue","Puerto Montt","Colegio Tecnico Naciones Unidas","Avenida Presidente Ibañez 272","652 286 236","secretaria@ctnupuertomontt.cl","colegiotecniconacionesunidas.cl"," "," "," ","URBANO","Particular Subvencionado","70023000","Ejercito De Salvacion","Parv./Básica/Med H-C/Med TP Tecn/Med TP Marítima","Elaboración Industrial de Alimentos- Acuicultura"," "," "," "," "," "," ",3," "," ",0,"1",-41.46449,-72.91495," ",522,c(-72.9149500004421, -41.4644899998136)
"45","Liceos Técnicos Profesionales","7699",10,101,10101,"Los Lagos","Llanquihue","Puerto Montt","Colegio Salesiano Padre Jose Fernandez Perez","Los Melies, Poblacion Padre Jose Fernandez Perez 368","652 259 542","rectorsalesianopm@gmail.com","www.salesianospuertomontt.cl"," "," "," ","URBANO","Particular Subvencionado","80230500","Congregacion Salesiana","Parv./Básica/Med H-C/Med TP comer/Med TP indust","Contabilidad- Mecánica Automotriz- Mecánica Industrial- Electricidad- Electrónica"," "," "," "," "," "," ",3," "," ",0,"1",-41.463196,-72.963794," ",523,c(-72.9637936799343, -41.4631958403157)
"46","Liceos Técnicos Profesionales","22494",10,101,10101,"Los Lagos","Llanquihue","Puerto Montt","Liceo Tecnico Profesional Agricola Maritimo Bosque Nativo","Avenida Tepual 5","652 367 906","liceobosquenativo@yahoo.es","www.liceobosquenativo.cl"," "," "," ","URBANO","Particular Subvencionado","79744540","Exportadora De Prod. Agrop. Y For. Ltda.","Med H-C/Med TP Tecn/Med TP Agríc/Med TP Marítima","Servicios de Hotelería- Agropecuaria- Acuicultura"," "," "," "," "," "," ",3," "," ",0,"1",-41.462793,-72.985836," ",524,c(-72.9858360596864, -41.4627932902781)
"47","Liceos Técnicos Profesionales","7629",10,101,10101,"Los Lagos","Llanquihue","Puerto Montt","Liceo Andres Bello","Magallanes 397","652 484 504","andresbello@liceos.dempuertomontt.cl"," "," "," "," ","URBANO","Municipal","69220100","Ilustre Municipalidad De Puerto Montt","Med H-C/Med TP comer/Med TP indust/Med TP Tecn","Administración- Refrigeración y Climatización- Atención de Párvulos"," "," "," "," "," "," ",3," "," ",0,"1",-41.460109,-72.952782," ",525,c(-72.9527822899707, -41.4601093796441)
"48","Liceos Técnicos Profesionales","22499",10,101,10101,"Los Lagos","Llanquihue","Puerto Montt","Instituto Ingles Antuquenu","Avda. Circunvalacion Norte Sur   Alerce Sur S/N","652 970 624","lorena_firu@yahoo.es"," "," "," "," ","URBANO","Particular Subvencionado","78309560","Sociedad Colegio Antuquenu Limitada","Parv./Básica/Med H-C/Med H-C Adul/Med TP indust/Med TP Tecn","Electrónica- Servicio de Turismo"," "," "," "," "," "," ",3," "," ",0,"1",-41.405934,-72.905678," ",526,c(-72.9056782095817, -41.4059340900861)
"49","Liceos Técnicos Profesionales","22262",10,101,10106,"Los Lagos","Llanquihue","Los Muermos","Colegio San Cristobal","Blanco Encalada 104","652 211 461","colegioscristobal@hotmail.com"," "," "," "," ","URBANO","Particular Subvencionado","77357790","Sociedad Educacion Y Salud Ars-Nova Ltda","Parv./Básica/Med H-C/Med TP Tecn","Atención de Enfermería"," "," "," "," "," "," ",3," "," ",0,"1",-41.39864,-73.462201," ",527,c(-73.4622010002759, -41.3986400001359)
